Institution,ED Acceptance Rate,Overall Acceptance Rate,Regular Acceptance Rate,% Submitting SAT,% Submitting ACT,SAT Math (25th-75th),SAT R/W (25th-75th),ACT (25th-75th),International Student Acceptance Rate,Demonstrated Interest,Early Decision I deadline,Early Decision II deadline,Early Action I deadline,Early Action II deadline,Regular Decision Decision,Cost of Attendance,% Receiving Merit Aid (No Need),Avg Merit Award,% of Need Met,Avg Need-Based Grant,% Living On-Campus,On-Campus Housing Requirement,Median Earnings (6 Years),Median Earnings (10 Years),20-Year Net ROI,Freshman Retention Rate,4-Year Graduation Rate,6-Year Graduation Rate,Notable Scholarships/Programs,Computer Science Graduate Median Starting Salary,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/ Precipitation,Sunny Days,Total Undergraduate Enrollment,% Female,% Male,% African-American,% Asian,% Hispanic,% White,% Unknown,% International
Bentley University,61%,45%,44%,19%,2%,650-730,630-700,28-31,36%,Important,Nov 15,Jan 15,-,-,Jan 15,"$87,570",8%,"$21,176",88%,"$44,151",73%,None,"$86,679","$120,959","$1,485,000",92%,81%,88%,,,Waltham,MA,35°/17°,58°/37°,83°/62°,62°/40°,131,197,"4,526",39%,61%,4%,10%,14%,53%,,15%
Berea College,N/A,19%,19%,6%,35%,548-663,598-670,22-28,2%,Considered,-,-,Oct 31,Oct 31,Oct 31,"$68,522",Data Not Reported,Data Not Reported,95%,"$58,241",82%*,Through Senior Year,"$35,676","$43,150","$611,000",83%,36%,62%,,,Berea,KY,44°/26°,69°/45°,86°/65°,69°/46°,121,187,"1,527",59%,41%,20%,4%,18%,42%,,9%
Berklee College of Music,N/A,44%,44%,Test Blind,Test Blind,N/A,N/A,N/A,45%,Considered,-,-,Nov 1,-,Jan 15,"$78,460",43%,"$21,810",54%,"$2,690",22%,None,"$26,462","$33,647","$236,000",85%,50%,68%,,,,,,,,,,,"7,549",45%,55%,6%,6%,13%,37%,,32%
Binghamton University,N/A,39%,25%,44%,9%,680-760,660-730,31-34,65%,Not Considered,-,-,-,-,Jan 1,"$32,044 (IS) / $51,924 (OS)",20%,"$6,472",76%,"$12,943",43%,Through Freshman Year,"$61,621","$80,596","$1,063,000",90%,77%,83%,,"$72,214",Vestal,NY,31°/14°,56°/34°,80°/58°,59°/38°,158,154,"14,668",52%,48%,5%,19%,13%,51%,,4%
Boise State University,N/A,87%,87%,49%,5%,415-505,490-610,20-26,76%,Not Considered,-,-,-,-,Feb 15,"$31,873 (IS) / $50,987 (OS)",10%,"$2,771",51%,"$7,468",18%,None,"$45,251","$51,658","$642,000",78%,41%,58%,,,Boise,ID,38°/24°,64°/38°,92°/58°,66°/39°,87,206,"24,030",57%,43%,2%,3%,16%,69%,,1%
Boston College,30%*,16%,14%*,30%,15%,730-780,710-760,33-35,17%,Not Considered,Nov 1,Jan 3,-,-,Feb 1,"$96,348",2%,"$24,920",100%,"$60,815",80%,None,"$85,717","$103,937","$1,268,000",95%,86%,91%,Gabelli Presidential Scholars,,Chestnut Hill,MA,36°/17°,58°/37°,83°/62°,62°/40°,131,201,"9,654",53%,47%,5%,11%,13%,58%,,7%
Boston University,28%,11%,9%,33%,10%,730-780,690-750,32-34,16%,Considered,Nov 1,Jan 5,-,-,Jan 5,"$94,427",8%,"$47,920",97%,"$64,175",66%,Through Freshman Year,"$65,655","$83,238","$1,074,000",95%,81%,89%,Trustee Scholars Program,"$82,440",Boston,MA,36°/19°,57°/38°,82°/63°,62°/42°,130,200,"18,805",58%,42%,6%,21%,11%,32%,,21%
Bowdoin College,13%,7%,6%,31%,17%,740-780,730-770,33-35,1%,Considered,Nov 15,Jan 5,-,-,Feb 1,"$93,800",2%,"$1,000",100%,"$66,151",94%,Through Sophomore Year,"$61,692","$82,735","$983,000",97%,72%,95%,,,Brunswick,ME,30°/9°,53°/32°,78°/58°,58°/37°,133,200,"1,881",52%,48%,5%,11%,15%,53%,,7%
Brandeis University,42%,41%,40%,30%,10%,700-770,690-750,31-34,20%,Considered,Nov 3,Jan 15,Nov 3,-,Jan 15,"$92,541",19%,"$15,166",96%,"$53,895",72%,Through Freshman Year,"$52,967","$77,231","$926,000",90%,78%,87%,,,Waltham,MA,35°/17°,58°/37°,83°/62°,62°/40°,131,197,"3,632",57%,43%,6%,18%,9%,41%,,19%
Brigham Young University-Provo,N/A,68%,68%,12%,46%,630-730,640-730,28-32,59%,Considered,-,-,-,-,Feb 1,"$22,340",35%,"$4,116",25%,"$3,832",18%,Through Freshman Year,"$58,450","$75,790","$1,044,000",90%,27%,80%,,"$87,604",Provo,UT,39°/21°,64°/39°,93°/62°,67°/40°,90,222,"32,952",52%,48%,0%,2%,8%,81%,,3%
Brown University,14%,5%,4%,61%,24%,770-800,740-780,34-35,4%,Not Considered,Nov 3,-,-,-,Feb 2,"$97,726",0.30%,"$21,278",100%,"$65,370",75%,Through Junior Year,"$79,131","$93,487","$1,202,000",99%,77%,96%,,,Providence,RI,37°/19°,58°/38°,83°/63°,63°/43°,127,200,"7,910",50%,50%,8%,23%,12%,33%,,13%
Bryant University,67%,68%,48%,11%,1%,580-670,610-660,27-28,61%,Considered,Feb 15,Feb 15,Feb 15,-,Feb 15,"$75,614",43%,$62,79%,"$31,202",85%,None,"$66,488","$90,008","$1,141,000",88%,77%,82%,,,Smithfield,RI,36°/16°,58°/36°,82°/61°,63°/40°,124,201,"3,200",35%,65%,4%,4%,9%,73%,,6%
Bryn Mawr College,37%,29%,29%,64%,21%,620-760,660-750,29-33,9%,Not Considered,Nov 15,Jan 1,-,-,Jan 15,"$92,040",17%,"$5,438",100%,"$60,057",90%,Through Senior Year,"$53,102","$75,217","$854,000",90%,73%,85%,,,Bryn Mawr,PA,39°/22°,64°/40°,86°/65°,65°/43°,116,201,"1,368",100%,0%,5%,12%,9%,51%,,13%
Bucknell University,55%,29%,26%,29%,10%,660-740,655-730,30-33,5%,Considered,Nov 1,Jan 10,-,-,Jan 10,"$91,836",9%,"$19,010",92%,"$53,109",89%,Through Senior Year,"$78,852","$93,807","$1,125,000",93%,82%,87%,,"$87,604",Lewisburg,PA,36°/19°,62°/38°,84°/61°,64°/40°,128,176,"3,920",52%,48%,4%,4%,9%,73%,,4%
Butler University,N/A,85%,61%,35%,19%,570-670,590-680,26-31,37%,Considered,Dec 1,-,Dec 1,-,Feb 15,"$72,060",41%,"$24,274",72%,"$32,652",68%,Through Junior Year,"$61,627","$77,235","$924,000",88%,72%,80%,,,Indianapolis,IN,35°/20°,62°/42°,84°/65°,65°/44°,122,186,"4,489",60%,40%,5%,4%,7%,77%,,1%
