Institution,ED Acceptance Rate,Overall Acceptance Rate,Regular Acceptance Rate,% Submitting SAT,% Submitting ACT,SAT Math (25th-75th),SAT R/W (25th-75th),ACT (25th-75th),International Student Acceptance Rate,Demonstrated Interest,Early Decision I deadline,Early Decision II deadline,Early Action I deadline,Early Action II deadline,Regular Decision Decision,Cost of Attendance,% Receiving Merit Aid (No Need),Avg Merit Award,% of Need Met,Avg Need-Based Grant,% Living On-Campus,On-Campus Housing Requirement,Median Earnings (6 Years),Median Earnings (10 Years),20-Year Net ROI,Freshman Retention Rate,4-Year Graduation Rate,6-Year Graduation Rate,Notable Scholarships/Programs,Computer Science Graduate Median Starting Salary,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/ Precipitation,Sunny Days,Total Undergraduate Enrollment,% Female,% Male,% African-American,% Asian,% Hispanic,% White,% Unknown,% International
Macalester College,39%,29%,28%,23%,18%,690-770,700-750,31-34,Not Reported,Considered,Nov 15,Jan 1,Nov 15,-,Jan 15,"$90,262",36%,"$18,937",100%,"$59,730",57%,Through Sophomore Year,"$46,244","$63,878","$781,000",94%,74%,89%,,,Saint Paul,MN,24°/7°,58°/37°,83°/64°,59°/39°,113,196,"2,138",56%,44%,6%,8%,11%,50%,,15%
Maine Maritime Academy,N/A,56%,58%,28%,10%,530-635,565-625,21-26,17%,Important,-,-,-,-,-,"$32,614 (IS) / $48,442 (OS)",35%,"$8,346",64%,"$13,349",58%,Through Junior Year,"$93,944","$89,964","$1,242,000",83%,39%,65%,,,,,,,,,,,945,20%,80%,3%,1%,6%,81%,,1%
Marist College,80%,57%,36%,10%,3%,590-660,600-680,25-31,57%,Considered,Nov 15,Feb 15,Nov 15,-,Feb 15,"$75,450",38%,"$20,510",79%,"$28,473",61%,None,,,,87%,70%,81%,,,Poughkeepsie,NY,35°/14°,60°/36°,85°/60°,63°/39°,125,172,"5,551",58%,42%,3%,4%,14%,72%,,2%
Marquette University,N/A,81%,81%,14%,26%,590-680,610-680,26-31,71%,Not Considered,-,-,-,-,-,"$74,439",42%,"$30,813",86%,"$36,811",57%,Through Sophomore Year,"$65,241","$78,257","$1,013,000",90%,69%,82%,,"$73,446",Milwaukee,WI,30°/14°,56°/37°,83°/63°,83°/63°,123,191,"8,045",56%,44%,5%,6%,16%,66%,,1%
Massachusetts Institute of Technology (MIT),N/A,5%,4%,83%,29%,780-800,740-780,34-36,Not Reported,Not Considered,-,-,Nov 30,-,Feb 15,"$90,110",0%,$0,100%,"$67,740",92%,Through Freshman Year,"$131,633","$143,372","$1,881,000",99%,83%,96%,,,Cambridge,MA,36°/19°,57°/38°,82°/63°,62°/43°,133,201,"4,535",48%,52%,8%,35%,14%,21%,,12%
Mercer University,N/A,69%,47%,40%,17%,570-670,590-680,25-31,46%,Very Important,-,-,-,-,-,"$63,031",29%,"$25,086",84%,"$36,208",58%,Through Junior Year,,,,84%,61%,73%,,,Macon,GA,57°/34°,76°/50°,92°/70°,77°/53°,102,119,"4,690",65%,35%,32%,8%,9%,41%,,3%
Miami University-Oxford,84%,75%,75%,8%,24%,610-700,610-690,25-30,34%,Considered,Nov 1,-,Nov 1,-,Feb 1,"$39,855 (IS) / $62,320 (OS)",49%,"$11,275",56%,"$14,797",46%,Through Sophomore Year,"$49,773","$55,076","$715,000",90%,70%,82%,Presidential Fellows Program,"$76,460",Oxford,OH,37°/20°,65°/40°,86°/64°,67°/42°,128,181,"16,816",52%,48%,3%,2%,5%,83%,,2%
Michigan State University,N/A,85%,85%,38%,7%,590-680,590-680,25-31,88%,Considered,-,-,Nov 1,-,Feb 1,"$39,330 (IS) / $65,682 (OS)",9%,"$10,494",63%,"$13,573",41%,Through Sophomore Year,"$55,084","$67,253","$886,000",91%,63%,82%,Alumni Distinguished Scholarship,"$80,133",East Lansing,MI,30°/17°,57°/36°,82°/61°,82°/61°,174,174,"41,234",52%,48%,7%,8%,7%,67%,,5%
Michigan Technological University,N/A,84%,84%,71%,20%,560-670,570-680,25-31,95%,Not Considered,-,-,-,-,-,"$38,123 (IS) / $63,019 (OS)",40%,"$11,594",89%,"$10,761",42%,Through Freshman Year,"$69,672","$78,198","$1,103,000",87%,39%,69%,,"$78,172",Houghton,MI,23°/7°,49°/29°,76°/54°,53°/35°,184,184,"6,022",29%,71%,1%,2%,3%,82%,,1%
Middlebury College,30%,11%,8%,28%,18%,725-790,720-760,33-35,Not Reported,Considered,Nov 1,Jan 3,-,-,Jan 3,"$93,756",0.20%,"$5,000",100%,"$59,785",95%,Through Senior Year,"$57,291","$76,310","$937,000",94%,66%,92%,,,Middlebury,VT,29°/9°,57°/33°,82°/58°,59°/37°,132,159,"2,760",54%,46%,5%,7%,12%,54%,,12%
Milwaukee School of Engineering,N/A,62%,62%,10%,32%,600-690,560-670,25-31,40%,Considered,-,-,-,-,-,"$69,662",10%,"$22,432",92%,"$39,731",50%,Through Sophomore Year,,,,82%,47%,69%,,"$72,857",Milwaukee,WI,30°/14°,56°/37°,83°/63°,61°/42°,123,191,"2,704",29%,71%,3%,6%,11%,67%,,5%
Mississippi State University,N/A,78%,78%,6%,85%,540-680,560-670,21-29,52%,Not Considered,-,-,-,-,-,"$31,985 (IS) / $50,117 (OS)",14%,"$6,065",55%,"$9,661",33%,Through Freshman Year,,,,82%,46%,63%,,"$67,660",Mississippi State,MS,53°/31°,75°/50°,92°/71°,76°/51°,100,216,"18,567",51%,49%,16%,2%,5%,73%,,1%
Missouri University of Science and Technology,N/A,73%,73%,13%,78%,610-730,580-690,25-31,51%,Considered,-,-,-,-,-,"$32,486 (IS) / $51,674 (OS)",43%,"$16,541",85%,"$15,659",86%,Through Sophomore Year,"$69,295","$82,957","$1,179,000",87%,29%,65%,,"$73,112",Rolla,MO,41°/21°,67°/44°,88°/67°,68°/45°,193,115,"5,552",23%,77%,3%,4%,5%,73%,,3%
Montana State University,N/A,87%,87%,25%,41%,525-640,540-645,21-27,92%,Not Considered,-,-,-,-,-,"$30,614 (IS) / $55,099 (OS)",19%,"$2,057",66%,"$7,209",31%,Through Freshman Year,,,,76%,36%,56%,,"$65,332",Bozeman,MT,36°/13°,57°/30°,84°/51°,60°/31°,113,188,"15,053",47%,52%,1%,1%,7%,83%,,1%
Morehouse College,50%,44%,26%,0%,11%,,,18-25,100%,Very Important,Nov 1,-,Nov 1,-,Feb 1,"$56,138",3%,"$9,975",Not Reported,"$22,301",55%,Through Sophomore Year,,,,85%,46%,55%,,,Atlanta,GA,52°/33°,73°/49°,88°/70°,73°/52°,109,217,"2,847",0%,100%,97%,0%,0%,0%,,0%
Mount Holyoke College,46%,36%,35%,13%,2%,670-770,710-760,32-35,16%,Considered,Nov 15,Jan 1,-,-,Jan 15,"$92,127",17%,"$25,303",100%,"$57,778",97%,Through Senior Year,,,,90%,84%,84%,,,South Hadley,MA,33°/14°,59°/36°,83°/60°,62°/39°,116,190,"2,178",100%,0%,5%,7%,10%,52%,,20%
Muhlenberg College,67%,72%,63%,16%,6%,610-700,640-710,29-33,23%,Considered,Nov 15,Feb 1,-,-,Feb 15,"$84,388",29%,"$27,198",91%,"$52,062",84%*,Through Senior Year,,,,91%,67%,82%,,,Allentown,PA,38°/20°,62°/39°,86°/63°,65°/41°,122,201,"1,737",58%,42%,7%,4%,13%,68%,,1%
New College of Florida,N/A,73%,77%,70%,36%,520-620,540-626,21-27,67%,Considered,-,-,-,-,-,"$25,635 (IS) / $48,663 (OS)",51%,"$9,022",100%,"$20,819",77%,Through Sophomore Year,,,,74%,58%,65%,,,Sarasota,FL,72°/51°,82°/61°,91°/74°,85°/67°,106,251,852,54%,46%,5%,3%,20%,53%,,13%
