Institution,ED Acceptance Rate,Overall Acceptance Rate,Regular Acceptance Rate,% Submitting SAT,% Submitting ACT,SAT Math (25th-75th),SAT R/W (25th-75th),ACT (25th-75th),International Student Acceptance Rate,Demonstrated Interest,Early Decision I deadline,Early Decision II deadline,Early Action I deadline,Early Action II deadline,Regular Decision Decision,Cost of Attendance,% Receiving Merit Aid (No Need),Avg Merit Award,% of Need Met,Avg Need-Based Grant,% Living On-Campus,On-Campus Housing Requirement,Median Earnings (6 Years),Median Earnings (10 Years),20-Year Net ROI,Freshman Retention Rate,4-Year Graduation Rate,6-Year Graduation Rate,Notable Scholarships/Programs,Computer Science Graduate Median Starting Salary,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/ Precipitation,Sunny Days,Total Undergraduate Enrollment,% Female,% Male,% African-American,% Asian,% Hispanic,% White,% Unknown,% International
New Jersey Institute of Technology,N/A,65%,65%,42%,4%,630-760,610-720,29-35,45%,Considered,-,-,-,-,-,"$47,142 (IS) / $65,892 (OS)",18%,"$15,733",58%,"$17,780",25%,None,"$69,591","$84,276","$1,183,000",90%,51%,74%,,"$69,338",Newark,NJ,39°/23°,62°/42°,86°/67°,66°/46°,116,190,"10,200",28%,72%,10%,20%,29%,29%,,6%
New Mexico Institute of Mining and Technology,N/A,44%,44%,84%,14%,530-650,550-660,20-28,Not Reported,Not Considered,-,-,-,-,-,"$26,052 (IS) / $47,623 (OS)",43%,"$8,037",87%,"$35,287",61%*,None,,,,76%,32%,56%,,,Socorro,NM,53°/21°,75°/39°,93°/62°,75°/40°,47,280,"1,085",28%,72%,1%,2%,41%,46%,,3%
New York University,Not Reported,9%,9%,28%,10%,760-800,720-760,34-35,8%,Considered,Nov 1,Jan 1,-,-,Jan 5,"$96,988",1%,"$23,737",100%,"$63,749",38%,None,"$64,543","$82,509","$1,042,000",95%,74%,88%,,"$77,715",New York,NY,39°/26°,61°/44°,84°/69°,64°/50°,119,224,"29,060",59%,41%,7%,22%,14%,22%,,26%
North Carolina State University,N/A,42%,41%,19%,29%,650-750,650-720,28-32,23%,Not Considered,-,-,Nov 1,-,-,"$27,481 (IS) / $52,446 (OS)",5%,"$5,908",72%,"$12,618",38%,Through Freshman Year,,,,94%,68%,85%,Park Scholarships,"$70,057",Raleigh,NC,51°/30°,72°/47°,90°/69°,72°/49°,108,213,"28,422",50%,50%,6%,10%,9%,66%,,2%
Northeastern University,43%,5%,4%,24%,7%,730-780,710-760,33-35,4%,Considered,Nov 1,Jan 1,Nov 1,-,Jan 1,"$94,137",13%,"$16,112",100%,"$58,707",57%,Through Sophomore Year,"$78,413","$92,538","$1,206,000",97%,Not Reported,91%,Stamps Scholarship,"$89,564",Boston,MA,36°/19°,57°/38°,82°/63°,62°/42°,130,200,"17,432",57%,43%,5%,22%,10%,40%,,14%
Northwestern University,23%,8%,6%,46%,23%,770-800,740-770,34-35,Not Reported,Considered,Nov 1,-,-,-,Jan 2,"$96,182",1%,"$20,625",100%,"$65,983",50%,Through Sophomore Year,"$76,844","$89,363","$1,188,000",98%,83%,96%,,"$85,918",Evanston,IL,32°/17°,58°/39°,83°/65°,62°/44°,125,193,"9,060",54%,46%,8%,21%,16%,30%,,12%
Oberlin College,39%,34%,34%,31%,17%,660-760,700-760,31-34,11%,Considered,Nov 15,Jan 2,-,-,Jan 15,"$91,436",51%,"$23,035",100%,"$56,289",93%,Through Senior Year,"$38,871","$58,343","$590,000",90%,60%,81%,,,Oberlin,OH,34°/19°,60°/38°,84°/62°,63°/43°,127,166,"2,896",59%,41%,4%,5%,9%,61%,,9%
Occidental College,48%,44%,44%,20%,8%,690-770,690-750,31-34,23%,Considered,Nov 15,-,-,-,Jan 10,"$92,048",29%,"$17,397",100%,"$56,261",80%,Through Junior Year,,,,90%,68%,83%,,,Los Angeles,CA,67°/46°,72°/51°,84°/62°,78°/56°,34,184,"1,881",59%,41%,4%,16%,18%,46%,,5%
Ohio State University,N/A,61%,45%,17%,31%,670-760,640-720,28-32,72%,Not Considered,-,-,Nov 1,-,Feb 1,"$33,033 (IS) / $61,815 (OS)",26%,"$7,425",76%,"$16,645",34%,Through Sophomore Year,"$51,438","$60,409","$801,000",94%,72%,88%,Stamps Eminence Scholarship Program,"$70,931",Columbus,OH,37°/21°,64°/41°,85°/64°,66°/43°,130,178,"46,815",50%,50%,8%,11%,6%,60%,,8%
Ohio University,N/A,85%,85%,12%,33%,540-640,550-650,22-28,61%,Not Considered,-,-,-,-,-,"$33,676 (IS) / $44,890 (OS)",5%,"$6,639",73%,"$12,693",37%,Through Sophomore Year,,,,82%,50%,66%,,,Athens,OH,38°/21°,65°/39°,84°/62°,66°/40°,115,170,"19,888",62%,38%,5%,1%,5%,82%,,1%
Ohio Wesleyan University,36%,56%,44%,13%*,31%*,555-665*,550-685*,25-31*,14%,Considered,-,-,-,-,-,"$73,926",18%,"$37,449",92%,"$49,615",85%,Through Senior Year,,,,83%,51%,63%,,,Delaware,OH,36°/20°,64°/40°,85°/63°,66°/42°,127,178,"1,525",56%,44%,10%,2%,6%,71%,,5%
Oregon State University,N/A,77%,77%,10%,4%,560-700,580-700,24-31,30%,Considered,-,-,-,-,-,"$37,581 (IS) / $62,541 (OS)",42%,"$9,250",66%,"$12,974",17%,Through Freshman Year,"$50,843","$64,010","$823,000",87%,47%,70%,,,Corvallis,OR,47°/34°,61°/40°,82°/52°,65°/42°,159,162,"31,253",49%,51%,2%,8%,13%,63%,,3%
Pennsylvania State University,N/A,61%,61%,31%,5%,620-720,620-700,27-32,64%,Not Considered,-,-,Dec 1,-,Dec 1,"$43,146 (IS) / $65,538 (OS)",6%,"$5,764",66%,"$7,016",35%,Through Freshman Year,"$55,620","$63,435","$773,000",92%,72%,85%,,"$71,234",University Park,PA,33°/17°,59°/35°,82°/58°,62°/38°,140,182,"42,619",47%,53%,5%,8%,9%,63%,,9%
Pepperdine University,N/A,63%,63%,18%,10%,640-740,650-710,29-32,Not Reported,Not Considered,-,-,-,-,-,"$98,652",32%,"$7,158",62%,"$40,989",61%,Through Sophomore Year,"$64,934","$82,939","$968,000",89%,75%,84%,,,Malibu,CA,67°/45°,73°/49°,86°/59°,79°/54°,36,181,"3,553",60%,40%,4%,15%,19%,44%,,8%
Pitzer College,42%,25%,23%,Test Blind,Test Blind,,,,5%,Important,-,-,-,-,Jan 1,"$94,118",2%,"$7,000",100%,"$57,248",85%,Through Senior Year,,,,93%,58%,85%,,,Claremont,CA,67°/43°,76°/50°,92°/63°,81°/55°,32,282,"1,242",59%,41%,4%,13%,12%,47%,,9%
Pomona College,13%,7%,6%,36%,14%,750-790,740-770,33-35,Not Reported,Not Considered,Nov 15,Jan 8,-,-,Jan 15,"$94,334",0%,$0,100%,"$67,065",97%*,Through Sophomore Year,"$60,850","$77,779","$1,017,000",97%,61%,94%,,,Claremont,CA,67°/43°,76°/50°,76°/50°,81°/55°,32,282,"1,766",56%,44%,9%,18%,17%,29%,,14%
Pratt Institute,N/A,73%,73%,16%,3%,550-690,590-700,24-31,74%,Very Important,-,-,-,-,-,"$87,238",38%,"$20,442",58%,"$7,730",54%,None,,,,88%,38%,74%,,,,,,,,,,,"3,967",71%,29%,5%,17%,13%,32%,,27%
Princeton University,N/A,5%,4%,56%,21%,770-800,740-780,34-35,2%,Not Considered,-,-,Nov 1,-,Jan 1,"$91,380",0%,$0,100%,"$71,237",95%,Through Sophomore Year,"$87,815","$110,066","$1,635,000",97%,75%,98%,,"$103,078",Princeton,NJ,39°/22°,62°/40°,86°/64°,65°/43°,125,204,"5,813",50%,50%,9%,23%,10%,34%,,13%
Providence College,86%,51%,38%,19%,5%,620-690,630-700,29-32,13%,Considered,-,-,-,-,-,"$88,170",9%,"$26,118",93%,"$42,855",70%,Through Junior Year,"$69,326","$87,054","$1,000,000",92%,83%,87%,,,Providence,RI,39°/26°,58°/43°,83°/69°,64°/50°,127,181,"4,556",54%,46%,2%,1%,9%,80%,,2%
Purdue University,N/A,50%,50%,79%,25%,600-760,600-720,27-34,28%,Considered,-,-,Nov 1,-,Jan 15,"$23,452 (IS) / $42,254 (OS)",22%,"$5,821",70%,"$13,066",42%,None,"$60,838","$72,424","$980,000",92%,65%,83%,,"$72,448",West Lafayette,IN,35°/17°,64°/39°,86°/63°,66°/42°,120,185,"44,819",41%,59%,3%,15%,8%,54%,,10%
Quinnipiac University,73%,72%,57%,22%,3%,570-660,580-660,24-29,42%,Very Important,-,-,-,-,-,"$79,360",33%,"$28,063",71%,"$33,142",75%,Through Junior Year,"$65,744","$83,759","$1,032,000",88%,71%,78%,,,Hamden,CT,37°/20°,60°/39°,84°/63°,64°/43°,108,205,"6,557",60%,40%,4%,3%,12%,74%,,2%
Ramapo College of New Jersey,83%,71%,71%,24%,1%,550-650,570-650,22-30,59%,Considered,-,-,-,-,-,"$39,731 (IS) / $51,209 (OS)",21%,"$7,098",59%,"$13,061",38%,None,,,,87%*,59%*,72%*,,,Mahwah,NJ,34°/17°,58°/37°,81°/61°,61°/40°,117,207,"5,444",58%,42%,6%,10%,27%,51%,,1%
Reed College,15%,27%,25%,48%,23%,610-770,680-750,30-34,5%,Considered,-,-,-,-,Jan 15,"$84,680",0%,$0,100%,"$55,303",68%,Through Sophomore Year,"$38,607","$62,927","$624,000",87%,62%,76%,,,Portland,OR,48°/36°,62°/43°,81°/56°,81°/56°,156,146,"1,346",45%,33%,2%,8%,12%,57%,,9%
Rensselaer Polytechnic Institute,58%,63%,50%,49%,11%,705-770,670-740,30-34,46%,Considered,-,-,-,-,Jan 15,"$87,744",38%,"$36,111",72%,"$10,029",57%,Through Sophomore Year,"$83,054","$102,051","$1,347,000",91%,71%,83%,,,Troy,NY,32°/14°,59°/37°,83°/62°,61°/40°,135,183,"5,743",31%,69%,5%,22%,11%,45%,,7%
Rhode Island School of Design,Not Reported,14%,Not Reported,16%,4%,690-780,680-760,30-33,Not Reported,Considered,-,-,-,-,-,"$81,810",1%,"$12,157",74%,"$38,650",68%*,Through Sophomore Year,"$45,932","$68,140","$733,000",93%*,58%*,88%*,,,Providence,RI,37°/19°,58°/38°,83°/63°,63°/43°,127,200,"2,092",71%,29%,5%,25%,9%,22%,,33%
Rhodes College,37%,50%,51%,17%,33%,670-740,660-760,28-32,14%,Considered,-,-,-,-,-,"$77,149",36%,"$32,393",88%,"$40,470",70%,Through Junior Year,,,,92%,73%,84%,,,Memphis,TN,49°/30°,72°/51°,91°/72°,74°/51°,108,218,"1,793",59%,41%,9%,9%,8%,59%,,6%
Rice University,17%,8%,7%,48%,22%,770-800,740-770,34-35,4%,Considered,Nov 15,Jan 4,-,-,Jan 4,"$90,240",4%,"$22,318",100%,"$69,891",59%,None,"$79,751","$89,718","$1,248,000",98%,87%,94%,,,Houston,TX,63°/43°,79°/60°,93°/75°,82°/61°,90,204,"4,789",50%,50%,8%,29%,17%,26%,,13%
Rochester Institute of Technology,72%,67%,67%,41%,9%,650-740,650-720,30-34,37%,Important,-,-,-,-,-,"$81,354",27%,"$22,755",91%,"$44,179",49%,Through Freshman Year,"$65,457","$76,571","$933,000",88%,49%,72%,,"$79,389",Rochester,NY,32°/17°,56°/36°,82°/61°,60°/41°,142,165,"14,267",35%,65%,6%,12%,10%,60%,,4%
Rollins College,41%,48%,48%,25%,15%,580-660,610-680,25-30,17%,Important,-,-,-,-,-,"$85,050",15%,"$24,849",78%,"$42,833",58%,Through Junior Year,,,,85%,69%,75%,Alfond Scholars Program,,Winter Park,FL,71°/49°,82°/61°,92°/75°,84°/67°,117,238,"2,640",61%,39%,6%,3%,19%,57%,,8%
Rose-Hulman Institute of Technology,N/A,77%,77%,29%,20%,660-780,630-720,28-33,69%,Not Considered,-,-,-,-,-,"$82,167",43%,"$31,083",72%,"$41,363",57%,Through Freshman Year,"$85,935","$101,253","$1,300,000",92%,66%,79%,,"$90,049",Terre Haute,IN,37°/20°,65°/43°,87°/65°,67°/43°,115,190,"2,315",24%,76%,3%,8%,5%,69%,,8%
Rowan University,N/A,78%,78%,27%,2%,550-650,560-660,23-29,66%,Not Considered,-,-,-,-,-,"$39,606 (IS) / $50,430 (OS)",25%,"$7,319",54%,"$14,512",35%,Through Sophomore Year,,,,83%,50%,68%,,,Glassboro,NJ,41°/24°,64°/42°,87°/66°,66°/46°,116,116,"16,199",50%,50%,12%,6%,16%,59%,,3%
Rutgers University (Camden),N/A,66%,Not Reported,23%,3%,510-660,540-640,19-25,44%,Important,-,-,-,-,-,"$39,884 (IS) / $60,709 (OS)",Not Reported,Not Reported,34%,"$15,160",17%,None,,,,80%,47%,67%,,,Camden,NJ,42°/27°,65°/45°,87°/69°,67°/49°,205,116,"3,857",60%,40%,19%,13%,24%,36%,,2%
Rutgers University (New Brunswick),N/A,41%,Not Reported,50%,5%,660-770,650-730,28-33,67%,Not Considered,-,-,-,-,-,"$41,541 (IS) / $62,366 (OS)",2%,"$10,071",46%,"$17,123",40%,None,"$61,263","$74,479","$955,000",93%,69%,84%,,,New Brunswick,NJ,40°/22°,63°/40°,86°/65°,66°/43°,117,208,"37,985",50%,50%,7%,34%,16%,30%,,7%
Rutgers University (Newark),N/A,71%,Not Reported,Test Blind,Test Blind,,,,68%,Considered,-,-,-,-,-,"$41,025 (IS) / $61,850 (OS)",Not Reported,Not Reported,56%,"$17,085",17%,None,,,,84%,42%,66%,,,Newark,NJ,39°/23°,62°/42°,86°/67°,66°/46°,206,206,"7,989",53%,47%,18%,19%,36%,20%,,2%
