Institution,ED Acceptance Rate,Overall Acceptance Rate,Regular Acceptance Rate,% Submitting SAT,% Submitting ACT,SAT Math (25th-75th),SAT R/W (25th-75th),ACT (25th-75th),International Student Acceptance Rate,Demonstrated Interest,Early Decision I deadline,Early Decision II deadline,Early Action I deadline,Early Action II deadline,Regular Decision Decision,Cost of Attendance,% Receiving Merit Aid (No Need),Avg Merit Award,% of Need Met,Avg Need-Based Grant,% Living On-Campus,On-Campus Housing Requirement,Median Earnings (6 Years),Median Earnings (10 Years),20-Year Net ROI,Freshman Retention Rate,4-Year Graduation Rate,6-Year Graduation Rate,Notable Scholarships/Programs,Computer Science Graduate Median Starting Salary,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/ Precipitation,Sunny Days,Total Undergraduate Enrollment,% Female,% Male,% African-American,% Asian,% Hispanic,% White,% Unknown,% International
Earlham College,N/A,73%,66%,23%,9%,540-630,570-660,24-33,30%,Not Considered,-,-,Mar 1,Mar 1,Mar 1,"$72,981",11%,"$36,114",88%,"$41,662",92%,Through Senior Year,"$35,430","$50,797","$560,000",78%,65%,71%,,,Richmond,IN,35°/18°,62°/39°,84°/62°,65°/41°,130,177,696,52%,48%,8%,2%,6%,59%,,18%
East Carolina University,N/A,89%,89%,10%,23%,520-600,530-630,19-25,93%,Not Considered,-,-,-,-,-,"$22,740 (IS) / $39,017 (OS)",5%,"$4,017",56%,"$9,952",29%,Through Freshman Year,"$46,420","$55,146","$702,000",82%,43%,64%,,,Greenville,NC,54°/34°,74°/50°,90°/71°,75°/52°,109,216,"21,445",57%,43%,16%,3%,10%,61%,,1%
Eckerd College,N/A,76%,74%,26%,16%,560-640,600-690,24-29,79%,Important,-,-,Feb 1,-,Feb 1,"$73,062",30%,"$19,528",58%,"$27,714",87%,Through Freshman Year,"$37,505","$51,819","$561,000",78%,59%,68%,,,Saint Petersburg,FL,70°/53°,81°/64°,91°/76°,84°/69°,103,244,"1,893",70%,30%,3%,2%,10%,75%,,4%
Elizabethtown College,N/A,78%,78%,30%,1%,545-650,560-660,26-31,5%,Considered,-,-,-,-,-,"$55,330",25%,"$19,635",94%,"$22,935",78%,Through Senior Year,"$54,833","$62,399","$826,000",84%,69%,76%,,,Elizabethtown,PA,37°/21°,63°/40°,85°/64°,65°/43°,121,197,"1,903",59%,41%,3%,2%,7%,83%,,2%
Elon University,92%,66%,97%,2%,1%,550-630,580-650,23-28,55%,Important,Jan 15,-,Jan 15,-,Jan 10,"$67,806",43%,"$12,923",74%,"$24,635",70%,Through Sophomore Year,"$58,082","$74,545","$831,000",90%,80%,83%,,,Elon,NC,49°/28°,72°/46°,89°/68°,72°/47°,111,216,"6,452",59%,41%,5%,2%,7%,76%,,2%
Embry-Riddle Aeronautical University,N/A,65%,65%,52%,25%,580-690,580-690,24-30,51%,Considered,-,-,-,-,-,"$68,772",Not Reported,"$12,453*",65%,"$27,617",45%,Through Sophomore Year,"$65,391","$84,131","$1,044,000",84%,42%,65%,,"$62,012",Daytona Beach,FL,68°/47°,79°/59°,90°/73°,82°/66°,119,229,"7,886",28%,72%,4%,5%,16%,56%,,10%
Emerson College,50%,51%,40%,16%,5%,610-700,660-720,29-32,Not Reported,Not Considered,Nov 14,Jan 16,Nov 14,-,Jan 15,"$87,516",28%,"$14,378",62%,"$29,279",52%*,Through Junior Year,"$42,799","$62,832","$626,000",88%,71%,78%,,,Boston,MA,36°/20°,57°/39°,82°/64°,62°/44°,132,201,"3,884",66%,34%,6%,6%,11%,55%,,15%
Emmanuel College,88%,76%,66%,8%,2%,570-670,600-670,26-31*,31%,Considered,-,-,-,-,-,"$73,056",14%,"$3,703",80%,"$39,687",78%,None,,,,81%,59%,68%,,,,,,,,,,,"1,909",76%,24%,8%,5%,18%,63%,,1%
Emory University,23%,10%,9%,43%,20%,750-790,720-760,32-35,6%,Not Considered,Dec 3,Jan 7,-,-,Jan 1,"$93,264",5%,"$38,751",100%,"$65,482",57%,Through Sophomore Year,"$74,980","$80,137","$1,123,000",96%,81%,91%,Emory University Scholar Programs,,Atlanta,GA,52°/33°,73°/49°,88°/69°,73°/51°,112,218,"7,407",57%,43%,10%,25%,12%,30%,,16%
Fairfield University,80%,33%,9%,14%,5%,630-690,630-700,29-32,5%,Important,Dec 1,Jan 15,Dec 1,-,Jan 15,"$83,330",60%,"$23,408",78%,"$30,784",73%,Through Senior Year,"$73,693","$88,794","$1,180,000",90%,82%,84%,,,Fairfield,CT,38°/22°,60°/40°,83°/65°,64°/46°,120,175,"5,391",58%,42%,1%,2%,9%,79%,,2%
