Institution,ED Acceptance Rate,Overall Acceptance Rate,Regular Acceptance Rate,% Submitting SAT,% Submitting ACT,SAT Math (25th-75th),SAT R/W (25th-75th),ACT (25th-75th),International Student Acceptance Rate,Demonstrated Interest,Early Decision I deadline,Early Decision II deadline,Early Action I deadline,Early Action II deadline,Regular Decision Decision,Cost of Attendance,% Receiving Merit Aid (No Need),Avg Merit Award,% of Need Met,Avg Need-Based Grant,% Living On-Campus,On-Campus Housing Requirement,Median Earnings (6 Years),Median Earnings (10 Years),20-Year Net ROI,Freshman Retention Rate,4-Year Graduation Rate,6-Year Graduation Rate,Notable Scholarships/Programs,Computer Science Graduate Median Starting Salary,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/ Precipitation,Sunny Days,Total Undergraduate Enrollment,% Female,% Male,% African-American,% Asian,% Hispanic,% White,% Unknown,% International
Clark University,24%*,40%,40%,16%,5%,630-720,658-740,30-33,Not Reported,Considered,Nov 1,Jan 15,Nov 1,-,Jan 15,"$76,390",33%,"$24,784",95%,"$43,023",68%,Through Sophomore Year,"$49,022","$62,381","$703,000",87%,70%,77%,,,Worcester,MA,33°/14°,56°/35°,80°/60°,60°/39°,130,197,"2,266",57%,43%,5%,7%,13%,62%,,6%
Clarkson University,79%,77%,77%,50%,10%,610-700,590-690,25-32,68%,Not Considered,Feb 1,-,-,-,Feb 1,"$83,966",25%,"$38,830",82%,"$45,602",89%,Through Senior Year,"$76,970","$89,696","$1,153,000",83%,62%,75%,,"$76,460",Potsdam,NY,26°/6°,54°/33°,80°/58°,57°/37°,149,161,"2,296",31%,69%,3%,2%,13%,74%,,4%
Clemson University,N/A,38%,43%,35%,20%,620-710,620-700,28-32,36%,Not Considered,-,-,Jan 1,-,Jan 1,"$28,838 (IS) / $54,150 (OS)",24%,"$4,905",49%,"$13,154",8%,Through Freshman Year,"$58,311","$71,513","$938,000",93%,68%,86%,National Scholars Program,"$67,995",Clemson,SC,53°/31°,73°/48°,90°/69°,73°/50°,108,222,"23,401",54%,46%,5%,3%,9%,76%,,1%
Colby College,Not Reported,7%,7%,36%,16%,740-790,720-760,32-34,3%,Considered,Nov 15,Jan 17,-,-,Jan 17,"$93,850",0.30%,"$2,000",100%,"$73,688",95%,Through Senior Year,"$60,052","$80,490","$1,147,000",93%,75%,89%,,,Waterville,ME,28°/8°,53°/33°,80°/59°,58°/38°,127,196,"2,412",51%,49%,5%,10%,8%,55%,,11%
Colgate University,19%,14%,13%,22%,14%,720-780,710-760,33-34,3%,Not Considered,Nov 8,Jan 15,-,-,Jan 15,"$95,610",0%,$0,100%,"$62,421",93%,Through Senior Year,"$64,949","$85,139","$1,161,000",93%,85%,91%,,,Hamilton,NY,30°/11°,55°/32°,79°/56°,58°/36°,160,N/A,"3,193",57%,43%,4%,5%,10%,64%,,8%
College of Charleston,53%,60%,24%,18%,11%,550-640,590-670,25-30,54%,Considered,Feb 1,Feb 1,Feb 1,-,Feb 1,"$35,163 (IS) / $61,029 (OS)",50%,"$12,572",54%,"$3,140",32%,None,"$43,821","$56,416","$681,000",82%,57%,66%,,,Charleston,SC,58°/39°,74°/56°,90°/75°,77°/59°,106,209,"10,880",68%,32%,5%,2%,8%,79%,,1%
College of the Atlantic,64%,70%,63%,21%,4%,580-700,660-730,28-32,39%,Considered,Dec 4,Jan 15,Dec 15,-,Feb 1,"$61,940",9%,"$13,905",100%,"$39,349",77%,Through Freshman Year,,,,81%,58%,66%,,,,,,,,,,,353,72%,28%,1%,1%,4%,69%,,22%
College of the Holy Cross,67%*,18%,17%,30%,15%,610-700,630-710,27-32,9%,Considered,Nov 15,Jan 15,-,-,Jan 15,"$89,748",9%,"$24,796",100%,"$50,427",88%,Through Sophomore Year,"$69,984","$90,543","$1,083,000",95%,85%,90%,,,Worcester,MA,33°/14°,57°/35°,81°/60°,61°/38°,128,197,"3,127",54%,46%,5%,3%,13%,68%,,4%
College of William and Mary,47%,34%,33%,43%,16%,690-770,710-760,32-34,Not Reported,Considered,Nov 15,Jan 5,-,-,Feb 1,"$46,797 (IS) / $72,495 (OS)",5%,"$4,097",82%,"$21,820",58%,Through Sophomore Year,"$62,959","$73,490","$969,000",95%,84%,91%,1693 Scholars,,Williamsburg,VA,48°/30°,69°/47°,88°/69°,71°/51°,212,116,"7,063",59%,41%,5%,11%,9%,62%,,3%
Colorado College,32%,18%,13%,29%,16%,590-730,640-730,29-33,7%,Considered,Nov 1,Jan 15,Nov 1,-,Jan 15,"$94,500",8%,"$12,776",100%,"$68,522",71%,Through Junior Year,"$47,611","$65,222","$766,000",94%,71%,87%,,,Colorado Springs,CO,43°/17°,59°/32°,84°/56°,63°/35°,88,243,"2,031",56%,44%,2%,5%,11%,68%,,5%
Colorado School of Mines,N/A,61%,61%,42%,18%,670-750,650-730,29-33,Not Reported,Considered,-,-,Mar 1,-,Mar 1,"$45,178 (IS) / $69,658 (OS)",49%,"$8,652",65%,"$7,136",37%,Through Sophomore Year,"$82,950","$97,335","$1,318,000",93%,67%,82%,,,Golden,CO,44°/19°,59°/33°,85°/57°,63°/36°,84,242,"6,195",32%,68%,1%,6%,14%,68%,,3%
Colorado State University,N/A,89%,79%,31%*,9%*,510-630*,530-650*,23-29*,42%*,Not Considered,-,-,Mar 1,-,Mar 1,"$35,722 (IS) / $58,061 (OS)",26%,"$5,327",68%,"$10,786",27%,Through Freshman Year,"$49,748","$60,543","$795,000",86%,47%,68%,,"$75,706",Fort Collins,CO,44°/15°,87°/57°,87°/57°,64°/34°,237,237,"26,221",55%,45%,3%,3%,16%,70%,,2%
Columbia University,13%,4%,3%,40%,21%,770-800,740-780,34-36,2%,Not Considered,Nov 15,-,-,-,Feb 15,"$95,946",0%,$0,100%,"$76,553",90%,Through Freshman Year,"$88,535","$102,491","$1,386,000",98%,80%,95%,,,New York,NY,39°/26°,84°/69°,84°/69°,64°/50°,119,224,"9,164",49%,49%,7%,18%,15%,28%,,21%
Connecticut College,41%,37%,37%,18%,6%,560-690,590-710,28-32,4%,Considered,Nov 15,Jan 14,-,-,Jan 15,"$91,660",46%,"$28,097",100%,"$50,977",99%,Through Senior Year,"$49,165","$75,001","$893,000",88%,76%,83%,,,New London,CT,38°/21°,57°/39°,81°/64°,63°/44°,118,203,"1,990",61%,39%,5%,3%,12%,68%,,6%
Cooper Union,29%,21%,19%,44%,6%,715-790,685-760,33-35,17%,Considered,Dec 1,-,-,-,Mar 1,"$70,442",Not Reported,"$24,225",98%,"$46,669",20%,None,"$39,707","$83,847","$1,032,000",92%,62%,82%,,,New York,NY,39°/26°,62°/44°,85°/69°,65°/50°,116,232,854,52%,48%,6%,31%,13%,27%,,11%
Cornell College,N/A,81%,81%,9%,28%,545-630,575-655,23-30,36%,Considered,-,-,-,-,-,"$70,710",23%,"$34,857",88%,"$40,386",93%,Through Senior Year,,,,80%,59%,62%,,,Mount Vernon,IA,29°/11°,62°/38°,84°/62°,63°/40°,108,193,"1,102",43%,51%,8%,4%,11%,69%,,3%
Cornell University,17%,8%,7%,40%,13%,770-800,730-770,33-35,3%,Not Considered,Nov 15,-,-,-,Feb 15,"$96,268",0%,$0,100%,"$57,947",52%*,Through Sophomore Year,"$87,830","$104,043","$1,363,000",98%,87%,95%,,,Ithaca,NY,32°/15°,56°/34°,81°/58°,60°/39°,159,154,"16,128",55%,45%,7%,27%,13%,31%,,10%
Creighton University,N/A,80%,72%,10%,41%,623-720,620-708,26-31,53%,Considered,-,-,Jan 15,-,Jan 15,"$70,113",46%,"$24,421",85%,"$27,620",51%,Through Sophomore Year,"$63,090","$73,911","$930,000",92%,74%,80%,,,,,,,,,,,"4,647",58%,42%,3%,8%,10%,69%,,2%
CUNY Baruch College,N/A,48%,48%,12%,,550-710,550-690,,Not Reported,Not Considered,-,-,-,-,Mar 1 - Apr 1,"$32,409 (IS) / $44,079 (OS)",2%,"$6,133",57%,"$9,866",2%,None,"$61,542","$75,971","$1,074,000",87%,55%,73%,,,,,,,,,,,"16,496",49%,51%,9%,35%,29%,18%,,6%
CUNY Hunter College,N/A,54%,54%,12%,,560-710,550-690,,Not Reported,Considered,-,-,-,-,Mar 1 - Apr 1,"$33,024 (IS) / $44,694 (OS)",4%,"$4,354",50%,"$9,587",5%*,None,,,,80%,38%,58%,,,New York,NY,39°/27°,61°/44°,85°/69°,65°/50°,116,232,"17,027",66%,34%,13%,33%,23%,26%,,5%
Dartmouth College,19%,5%,4%,51%,22%,760-790,740-780,33-35,Not Reported,Considered,Nov 1,-,-,-,Feb 1,"$95,588",0%,$0,100%,"$69,466",85%,Through Freshman Year,"$82,541","$97,434","$1,296,000",98%,75%,95%,,,Hanover,NH,29°/8°,57°/33°,82°/58°,59°/36°,136,193,"4,570",48%,52%,6%,13%,10%,44%,,15%
Davidson College,32%,13%,10%,28%,23%,705-780,695-750,31-34,3%,Considered,Nov 15,Jan 5,-,-,Jan 12,"$90,274",3%,"$41,262",100%,"$62,393",96%,Through Senior Year,"$62,866","$81,400","$1,067,000",95%,86%,91%,John Montgomery Belk Scholarship,,Davidson,NC,51°/28°,72°/46°,89°/68°,72°/47°,107,214,"1,869",53%,47%,7%,5%,11%,60%,,11%
Denison University,18%,17%,17%,29%,22%,660-760,660-730,30-33,Not Reported,Considered,Nov 15,Jan 15,-,-,Jan 15,"$92,900",35%,"$18,758",100%,"$53,868",99%,Through Senior Year,"$51,352","$67,753","$755,000",89%,73%,81%,,,Granville,OH,36°/20°,63°/39°,84°/62°,65°/41°,128,175,"2,394",52%,48%,5%,4%,7%,60%,,17%
DePaul University,N/A,76%,76%,31%,12%,560-660,580-670,25-31,Not Reported,Important,-,-,Jan 1,-,Jan 1,"$72,174",24%,"$20,876",73%,"$31,143",14%,None,"$54,695","$68,751","$866,000",85%,55%,69%,,,Chicago,IL,33°/20°,59°/42°,84°/68°,63°/48°,126,189,"14,188",55%,45%,8%,13%,25%,44%,,4%
DePauw University,28%*,57%,57%,58%,18%,560-695,560-675,25-31,Not Reported,Considered,Nov 1,Dec 15,Dec 1,Dec 15,Feb 1,"$80,620",43%,"$39,482",89%,"$49,430",97%,Through Senior Year,"$58,476","$70,527","$885,000",90%,69%,80%,,,Greencastle,IN,35°/18°,63°/40°,85°/63°,65°/42°,111,187,"1,917",50%,50%,6%,2%,8%,57%,,23%
Dickinson College,51%,42%,41%,23%,5%,640-720,670-740,30-33,14%*,Very Important,Nov 15,Jan 15,-,-,Jan 15,"$89,772",31%,"$32,586",100%,"$53,444",100%,Through Senior Year,"$57,110","$70,204","$929,000",91%,68%,82%,,,Carlisle,PA,37°/21°,62°/40°,85°/63°,65°/42°,122,196,"2,311",60%,40%,4%,5%,8%,67%,,12%
Drake University,N/A,64%,64%,5%,18%,530-670,580-680,24-29,19%,Considered,-,-,Mar 1,-,Mar 1,"$68,691",26%,"$31,782",79%,"$33,539",62%,Through Sophomore Year,"$58,233","$71,901","$946,000",84%,67%,76%,,,Des Moines,IA,31°/13°,62°/40°,86°/65°,63°/41°,109,202,"2,585",61%,39%,8%,5%,9%,68%,,4%
Drew University,Not Reported,68%,68%,23%,2%,533-650,570-688,24-30,39%,Considered,Nov 1,-,Dec 1,-,Feb 15,"$74,234",26%,"$24,014",88%,"$39,312",70%,Through Senior Year,"$47,562","$63,646","$732,000",87%,63%,73%,,,Madison,NJ,38°/19°,62°/39°,85°/63°,65°/41°,118,205,"1,611",56%,44%,11%,4%,7%,56%,,11%
Drexel University,92%,79%,67%,34%,5%,620-740,620-700,27-32,68%,Considered,Nov 25,-,Nov 25,-,Feb 1,"$86,243",25%,"$23,607",79%,"$40,401",19%,Through Freshman Year,"$69,063","$84,648","$1,044,000",89%,31%,78%,,"$71,798",Philadelphia,PA,41°/27°,64°/45°,87°/70°,67°/50°,117,205,"11,757",50%,50%,10%,24%,9%,40%,,10%
Duke University,17%,6%,4%,48%,30%,760-800,740-770,34-35,4%,Considered,Nov 4,-,-,-,Feb 1,"$98,772",1%,"$85,600",100%,"$70,439",84%,Through Junior Year,"$85,792","$97,800","$1,329,000",97%,87%,97%,Robertson Scholars Leadership Program,"$97,071",Durham,NC,50°/30°,72°/46°,89°/69°,72°/48°,109,220,"6,523",54%,46%,9%,22%,11%,35%,,11%
Duquesne University,N/A,84%,84%,20%,4%,580-670,600-670,26-32,64%,Considered,-,-,May 1,-,May 1,"$73,626",15%,"$22,476",71%,"$29,311",56%,Through Sophomore Year,"$62,627","$74,742","$919,000",85%,67%,76%,,,Pittsburgh,PA,37°/21°,63°/40°,84°/63°,64°/43°,140,160,"5,371",63%,37%,6%,3%,6%,77%,,3%
