Institution,ED Acceptance Rate,Overall Acceptance Rate,Regular Acceptance Rate,% Submitting SAT,% Submitting ACT,SAT Math (25th-75th),SAT R/W (25th-75th),ACT (25th-75th),International Student Acceptance Rate,Demonstrated Interest,Early Decision I deadline,Early Decision II deadline,Early Action I deadline,Early Action II deadline,Regular Decision Decision,Cost of Attendance,% Receiving Merit Aid (No Need),Avg Merit Award,% of Need Met,Avg Need-Based Grant,% Living On-Campus,On-Campus Housing Requirement,Median Earnings (6 Years),Median Earnings (10 Years),20-Year Net ROI,Freshman Retention Rate,4-Year Graduation Rate,6-Year Graduation Rate,Notable Scholarships/Programs,Computer Science Graduate Median Starting Salary,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/ Precipitation,Sunny Days,Total Undergraduate Enrollment,% Female,% Male,% African-American,% Asian,% Hispanic,% White,% Unknown,% International
California Institute of Technology,N/A,3%,3%,Not Reported,Not Reported,,,,Not Reported,Not Considered,-,-,Dec 16,-,Mar 17,"$93,912",0%,$0,100%,"$73,312",90%,Through Sophomore Year,"$132,140","$128,566","$1,719,000",98%,77%,94%,,,Pasadena,CA,68°/45°,74°/52°,88°/64°,81°/56°,40,286,987,45%,55%,5%,36%,17%,19%,,14%
California Institute of the Arts,N/A,26%,26%,Test Blind,Test Blind,,,,Not Reported,Considered,-,-,-,-,Apr 1,"$77,308",14%,"$6,250",Not Reported,,36%*,None,"$28,018","$41,198","$340,000",86%*,43%*,64%*,,,,,,,,,,,918,60%,40%,5%,9%,15%,33%,,27%
California Polytechnic State University-San Luis Obispo,N/A,31%,31%,28%,7%,610-730,610-710,28-33,31%,Not Considered,-,-,-,-,Mar 2,"$39,537 (IS) / $46,683 (OS)",7%,"$3,746",81%,"$16,321",39%,None,"$72,358","$90,768","$1,218,000",95%,62%,86%,,"$93,964",San Luis Obispo,CA,62°/43°,67°/47°,74°/54°,73°/51°,51,287,"21,947",51%,49%,1%,14%,25%,48%,,1%
California State Polytechnic University-Pomona,N/A,74%,74%,Test Blind,Test Blind,,,,42%,Not Considered,-,-,-,-,,"$29,924 (IS) / $42,524 (OS)",2%,"$1,255",71%,"$12,626",17%,None,"$54,466","$71,902","$966,000",88%,35%,68%,,"$63,501",Pomona,CA,67°/42°,75°/49°,91°/62°,81°/54°,32,285,"25,255",44%,56%,2%,22%,55%,13%,,1%
California State University-Fresno,N/A,94%,94%,Test Blind,Test Blind,,,,83%,Not Considered,-,-,-,-,,"$24,238",6%,"$3,304",71%,"$11,560",6%,None,,,,78%,28%,56%,,"$63,005",Fresno,CA,55°/38°,75°/48°,98°/66°,80°/52°,48,271,"21,889",58%,42%,3%,11%,62%,14%,,4%
California State University-Fullerton,N/A,91%,91%,4%,0.00%,410-530,450-550,21-30,43%,Not Considered,-,-,-,-,,"$33,260 (IS) / $43,820 (OS)",19%*,"$2,590",90%,"$5,360",3%,None,,,,85%,39%,70%,,,Fullerton,CA,69°/46°,74°/52°,85°/64°,80°/57°,32,283,"38,597",56%,44%,2%,21%,56%,13%,,1%
California State University-Long Beach,N/A,46%,46%,Test Blind,Test Blind,,,,36%,Not Considered,-,-,-,-,,"$31,106 (IS) / $42,650 (OS)",4%,"$1,280",78%,"$11,389",20%,None,,,,86%,38%,72%,,"$68,499",Long Beach,CA,67°/46°,71°/53°,79°/63°,76°/58°,32,287,"35,843",59%,41%,4%,20%,51%,14%,,4%
California State University-Los Angeles,N/A,91%,91%,Test Blind,Test Blind,,,,52%,Not Considered,-,-,-,-,,"$34,521 (IS) / $47,121 (OS)",4%,"$6,655",53%,"$13,909",8%*,None,,,,73%,25%,52%,,,,,,,,,,,"19,354",56%,44%,4%,9%,75%,4%,,4%
Carleton College,37%,20%,19%,34%,25%,730-790,720-770,32-35,5%,Not Considered,Nov 15,Jan 15,-,-,Jan 15,"$93,352",2%,"$15,761",100%,"$64,559",97%,Through Senior Year,"$53,989","$75,525","$907,000",96%,82%,91%,,,Northfield,MN,23°/5°,57°/35°,82°/61°,59°/37°,102,192,"2,128",50%,50%,6%,10%,10%,51%,,10%
Carnegie Mellon University,14%,12%,11%,53%,22%,770-800,730-770,34-35,11%,Not Considered,Nov 15,-,-,-,Feb 15,"$92,194",2%,"$12,949",100%,"$56,222",52%,Through Freshman Year,"$105,360","$114,862","$1,527,000",97%,81%,93%,,,Pittsburgh,PA,37°/21°,63°/40°,84°/63°,64°/43°,140,160,"7,824",49%,51%,4%,33%,9%,20%,,23%
Case Western Reserve University,37%,38%,38%,46%,23%,740-790,700-760,32-35,23%,Considered,Nov 15,Jan 22,Nov 15,-,Feb 1,"$92,750",37%,"$30,499",100%,"$45,353",71%,Through Sophomore Year,"$75,613","$87,989","$1,061,000",93%,73%,86%,Andrew and Eleanor Squire Scholarship; A.W. Smith Innovation Scholarship,,Cleveland,OH,35°/22°,59°/41°,82°/65°,63°/46°,149,166,"6,528",48%,52%,6%,30%,12%,34%,,11%
Catholic University of America,Not Reported,83%,83%,12%,3%,540-670,560-680,23-30,48%,Considered,Dec 1,Feb 1,Dec 1,-,Feb 1,"$85,630",34%,"$33,820",82%,"$44,016",61%,Through Junior Year,"$63,217","$73,250","$973,000",87%,73%,78%,,,Washington,DC,43°/27°,67°/45°,89°/69°,69°/48°,114,203,"3,177",54%,46%,9%,3%,22%,54%,,3%
Centre College,61%,54%,36%,12%,46%,570-730,590-720,25-32,12%,Not Considered,Dec 10,Jan 15,Dec 15,-,Feb 1,"$73,580",34%,"$32,217",93%,"$51,643",99%,Through Senior Year,"$50,073","$66,240","$811,000",89%,76%,85%,,,Danville,KY,42°/25°,67°/44°,86°/66°,69°/46°,106,188,"1,407",52%,48%,6%,5%,7%,72%,,4%
Champlain College,62%*,88%,88%,16%,4%,600-680,620-700,26-29,62%,Not Considered,Feb 1,-,Feb 1,-,Feb 1,"$71,872",20%,"$17,162",70%,"$33,423",82%,None,"$48,844","$58,386","$775,000",76%,56%,65%,,,,,,,,,,,"2,801",39%,61%,7%,4%,10%,67%,,0.20%
Chapman University,51%,65%,58%,14%,5%,630-720,630-720,28-31,Not Reported,Considered,Dec 8,-,Dec 8,-,Mar 3,"$91,267",18%,"$23,936",79%,"$23,905",49%,Through Junior Year,"$58,080","$70,070","$776,000",91%,71%,82%,,,Orange,CA,69°/46°,74°/52°,85°/63°,80°/57°,35,277,"7,713",61%,39%,2%,16%,20%,47%,,3%
Claremont McKenna College,23%,10%,7%,26%,13%,750-790,720-770,33-35,6%,Not Considered,Nov 8,Jan 17,-,-,Jan 17,"$97,010",8%,"$23,300",100%,"$64,609",97%,Through Senior Year,"$87,603","$104,736","$1,407,000",97%,75%,93%,,,Claremont,CA,67°/43°,76°/50°,92°/63°,81°/55°,32,282,"1,390",50%,50%,4%,17%,15%,36%,,15%
